"","Utilidad_Total_Opcion.1.","Utilidad_Total_Opcion.2.","Utilidad_Total_Opcion.3."
"370",1373,1409.75700942819,1591
"371",1094.95832928337,1147.40468116114,1214.27567367205
"372",1310,1167.98867135876,1549
"373",1277,1308.59753232722,870.032476434019
"374",1385,1436,632.561712246356
"375",1093.96862706975,1088.10773630838,284.430834934608
"376",373.470470719894,1409.88310705685,1195.14094439456
"377",260.696222935161,1508,773.905010297007
"378",1328,1250.42101451634,1332.97615964562
"379",1268,1069.90687167719,1134.22831573777
"380",1194.60139329502,1025.53580581649,1068.79650232078
"381",1214.65019830322,1227.65935856773,1624
"382",1289,359.011095831419,1454.83951457617
"383",1053.35153444803,1544,-773.023487427182
"384",1194.48432386244,1409.8772431949,931.463399397263
"385",1034.23820947553,348.990079194136,1495
"386",1325,1523,1537
"387",1286,1107.3439718585,770.058937449183
"388",1274,1463,1374.5068133444
"389",874.236673418411,1523,1414.46730869583
"390",628.075606573959,404.113166214283,890.563912341262
"391",1307,1430,770.426161565358
"392",349.717450755748,1496,1672
"393",1283,625.970849208266,1052.41203785643
"394",1074.56169227881,1209.60919799714,828.203580473443
"395",1175.05987955952,1439,934.844559319214
"396",1292,566.761345381178,1211.79122650259
"397",1194.90803054189,1433,626.883547805084
"398",1271,1502,1552
"399",1250,549.886237355977,1513
"400",935.933520293989,1496,676.386254127478
"401",812.648711130963,984.94506219901,1534
"402",1256,626.289951946303,1293.72893601066
"403",1316,663.049821821531,749.187226092331
"404",1514,1514,161.41446931085
"405",1355,967.113249453095,1355.20011999705
"406",1268,1439,1075.106509814
"407",1247,1270.17577476872,279.567538522403
"408",972.68160088402,1389.43255876345,796.353337587722
"409",1316,1389.96719042823,1434.76441363939
"410",1268,607.067827254618,853.134527382
"411",1154.93157455926,1490,631.954525987746
"412",892.903228451822,1329.66772982241,1191.5389430298
"413",686.764851921044,1068.40803553461,1516
"414",734.217629726229,1439,1522
"415",974.976786678841,1086.64156544873,1522
"416",1241,829.554224588837,706.060764033787
"417",1319,1451,1564
"418",1241,1514,97.0804834352862
"419",1235,1409.8336006742,1591
"420",829.585564893106,1490,1272.90096848401
"421",1247,884.025478668087,1474.85437750162
"422",1271,1270.2578657355,1113.71842230605
"423",1310,463.876003488867,1274.8455139004
"424",455.285342620281,1309.87189558019,684.343987345343
"425",1244,1247.92850533822,1190.92077656987
"426",1340,1517,741.994752820524
"427",1280,1109.92458277001,1032.99511001507
"428",1271,-968.167551808064,868.859984844508
"429",1352,1574,1513
"430",1283,809.849011071437,1032.11282661177
"431",524.898524581428,1389.60103277355,1546
"432",1283,1448,1009.18009134419
"433",85.4570012410022,1442,834.163170247556
"434",1194.87282559185,1349.34453131456,851.494247237706
"435",1265,1348.98264813687,754.162754214961
"436",1235,1511,1519
"437",1235,1469,1582
"438",1337,1469,1570
"439",1289,1349.31685684196,1172.23981705063
"440",1274,1511,1189.3491807287
"441",1247,743.104604355525,312.995240378082
"442",1337,1436,911.381542549296
"443",1286,925.401054538786,1012.81552503902
"444",1253,1389.75368555566,1052.54382939961
"445",1286,1490,1234.22695882214
"446",1391,1445,657.317238016461
"447",1355,1349.58470734035,1588
"448",1310,1389.82455522443,1052.15494988719
